Date,Price,Open,High,Low,Vol.,Chg. %,
"7/5/21","33,668.0","35,289.0","35,289.0","33,479.2","7.72K","-4.59%",
"7/4/21","35,289.0","35,494.0","35,782.0","35,289.0","2.93K","1.53%",
"7/3/21","34,758.0","33,816.0","34,762.0","33,561.6","2.89K","2.79%",
"7/2/21","33,816.0","33,554.4","33,924.0","32,727.0","5.15K","0.78%",
"7/1/21","33,554.4","35,043.5","35,043.5","32,821.0","5.82K","-4.25%",
"6/30/21","35,043.5","35,895.9","35,981.0","34,754.0","3.45K","-2.37%",
"6/29/21","35,895.9","34,484.0","36,411.0","34,316.7","5.51K","4.09%",
"6/28/21","34,484.0","34,717.0","35,168.0","34,152.0","6.18K","-0.67%",
"6/27/21","34,717.0","32,359.0","34,717.0","32,359.0","28.71K","7.29%",
"6/26/21","32,359.0","31,584.7","32,359.0","30,331.0","20.53K","2.45%",
"6/25/21","31,584.0","34,656.6","34,915.0","31,584.0","37.67K","-8.87%",
"6/24/21","34,656.6","33,703.0","35,137.2","32,530.0","4.86K","2.83%",
"6/23/21","33,703.0","32,553.0","34,196.0","32,553.0","9.14K","3.53%",
"6/22/21","32,553.0","31,761.0","33,300.0","29,927.0","26.87K","2.49%",
"6/21/21","31,761.0","35,631.0","35,631.0","31,475.0","23.45K","-10.86%",
"6/20/21","35,631.0","35,585.8","35,966.0","33,725.0","16.93K","0.13%",
"6/19/21","35,585.8","35,802.0","36,236.0","35,460.0","11.57K","-0.60%",
"6/18/21","35,802.0","38,061.0","38,061.0","35,490.0","11.42K","-5.94%",
"6/17/21","38,061.0","38,332.0","39,324.0","37,733.7","3.54K","-0.71%",
"6/16/21","38,332.0","40,139.0","40,394.0","38,332.0","6.79K","-4.50%",
"6/15/21","40,139.0","40,509.0","40,708.8","39,726.0","7.78K","-0.89%",
"6/14/21","40,500.0","39,004.0","40,732.0","38,812.0","9.73K","3.84%",
"6/13/21","39,004.0","35,531.0","39,021.1","34,984.0","8.99K","9.77%",
"6/12/21","35,531.0","37,338.0","37,338.0","35,185.0","7.38K","-4.84%",
"6/11/21","37,338.0","36,649.2","37,427.0","36,342.0","6.42K","1.88%",
"6/10/21","36,649.2","37,347.0","37,933.0","36,559.0","9.57K","-1.87%",
"6/9/21","37,347.0","33,415.0","37,490.0","32,673.0","26.97K","11.77%",
"6/8/21","33,415.0","33,596.0","33,744.8","31,547.6","12.92K","-0.54%",
"6/7/21","33,596.0","35,782.0","36,613.3","33,596.0","9.97K","-6.11%",
"6/6/21","35,782.0","35,543.0","36,238.0","35,496.0","6.51K","0.67%",
"6/5/21","35,543.0","36,844.0","37,690.3","35,296.0","6.59K","-3.56%",
"6/4/21","36,854.0","39,209.0","39,209.0","36,532.0","5.93K","-6.01%",
"6/3/21","39,209.0","37,590.0","39,209.0","37,371.0","5.75K","4.31%",
"6/2/21","37,590.0","36,672.6","38,053.0","36,192.3","3.97K","2.50%",
"6/1/21","36,672.6","37,305.0","37,624.8","35,928.0","5.29K","-1.70%",
"5/31/21","37,305.0","35,615.0","37,305.0","34,527.0","5.98K","4.75%",
"5/30/21","35,615.0","34,570.0","36,138.0","33,680.0","6.02K","3.02%",
"5/29/21","34,570.0","35,667.0","36,910.5","33,681.0","7.76K","-3.08%",
"5/28/21","35,667.0","38,484.7","38,484.7","35,028.0","10.22K","-7.20%",
"5/27/21","38,435.0","39,301.0","40,120.0","37,381.0","5.55K","-2.20%",
"5/26/21","39,301.0","38,363.0","40,497.8","38,020.2","8.61K","2.45%",
"5/25/21","38,363.0","38,772.9","39,761.0","36,760.5","7.77K","-1.06%",
"5/24/21","38,772.9","34,730.3","39,201.0","34,730.3","15.13K","11.64%",
"5/23/21","34,730.3","37,585.0","38,186.0","32,623.0","25.99K","-7.60%",
"5/22/21","37,585.0","37,415.0","38,662.0","36,150.0","13.56K","0.45%",
"5/21/21","37,415.0","40,550.1","41,500.0","35,188.0","23.31K","-7.79%",
"5/20/21","40,578.0","36,755.0","41,827.0","35,198.4","25.60K","10.40%",
